130.00	496.80	249.39
1380.00	468.63	246.87
1542.00	518.93	241.29
1839.00	506.03	244.48
2917.00	456.47	244.59
3411.00	514.38	243.18
3556.00	571.48	249.30
3604.00	466.08	247.27
3823.00	503.58	238.77
4102.00	481.92	238.08
4149.00	485.07	248.85
4285.00	447.42	248.59
4351.00	461.47	247.28
4558.00	472.26	247.33
4861.00	497.51	241.46
5106.00	551.67	245.98
5693.00	523.18	243.34
6292.00	538.24	240.59
6525.00	506.41	246.04
7140.00	551.41	245.06
8097.00	504.23	248.61
8303.00	437.79	232.64
8688.00	561.96	248.77
8828.00	548.81	245.61
8986.00	494.37	249.81
9088.00	498.06	247.12
9224.00	492.44	248.42
9432.00	509.43	248.47
9912.00	508.62	244.13
